Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,quizAttempts,x,y,width,height,color,block,blockNum,discreteWorld,trialStartTime,turnStartTime,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
40,5f61559baa4f2b137cbb8a71,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214427887.0,undefined,Pi,L,4.0,1,1,0,0,3,0,2,1,"[10, 47, 179, 155]","{'x': 3, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",4,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214367186.0,1600214401764.0,26123,60701,block,False
41,5f61559daa4f2b137cbb8a73,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214429021.0,undefined,Pi,L,4.0,1,1,0,0,2,0,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",5,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214367186.0,1600214401764.0,27257,61835,block,False
42,5f61559eaa4f2b137cbb8a75,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214430339.0,undefined,Pi,L,4.0,1,1,0,0,2,2,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 2, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",6,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214367186.0,1600214401764.0,28575,63153,block,False
43,5f6155acaa4f2b137cbb8a7c,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214444693.0,undefined,Pi,L,4.0,1,1,0,0,2,4,1,2,"[179, 47, 10, 155]","{'x': 2, 'y': 4, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",7,"[[False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, True, True, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214367186.0,1600214401764.0,42929,77507,block,False
44,5f615616aa4f2b137cbb8acf,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214550315.0,undefined,C,L,5.0,1,1,0,0,0,0,1,2,"[179, 47, 10, 155]","{'x': 0, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",0,"[[True, True, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,27898,100049,block,False
45,5f615617aa4f2b137cbb8ad0,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214551794.0,undefined,C,L,5.0,1,1,0,0,0,2,1,2,"[179, 47, 10, 155]","{'x': 0, 'y': 2, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",1,"[[True, True, True, True, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,29377,101528,block,False
46,5f615619aa4f2b137cbb8ad3,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214553546.0,undefined,C,L,5.0,1,1,0,0,1,0,2,1,"[10, 47, 179, 155]","{'x': 1, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",2,"[[True, True, True, True, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,31129,103280,block,False
47,5f61561eaa4f2b137cbb8adc,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214558779.0,undefined,C,L,5.0,1,1,0,0,0,4,1,2,"[179, 47, 10, 155]","{'x': 0, 'y': 4, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",3,"[[True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,36361,108512,block,False
48,5f615621aa4f2b137cbb8ae1,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214561098.0,undefined,C,L,5.0,1,1,0,0,10,0,2,1,"[10, 47, 179, 155]","{'x': 10, 'y': 0, 'width': 2, 'height': 1, 'color': [10, 47, 179, 155]}",4,"[[True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,38681,110832,block,False
49,5f615627aa4f2b137cbb8aeb,pilot_class_test,8112-faa4477d-f5db-4414-b463-d41931fd5654,1600214567845.0,undefined,C,L,5.0,1,1,0,0,9,0,1,2,"[179, 47, 10, 155]","{'x': 9, 'y': 0, 'width': 1, 'height': 2, 'color': [179, 47, 10, 155]}",5,"[[True, True, True, True, True, True, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [False, False, False, False, False, False, False, False, False, False], [True, True, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False], [True, False, False, False, False, False, False, False, False, False]]",1600214450266.0,1600214522417.0,45428,117579,block,False
