Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,trialScore,cumulativeScore,cumulativeBonus,eventType,practice,individualPracticeAttempts,flagged,time_final_block,total_block_duration,total_chat_duration,total_duration,diff
0,5ef783a1ce2f7f58fcd0a354,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279393386.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,25,0,0.0,endTrial,True,,False,,,,,
1,5ef783c3ce2f7f58fcd0a35b,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279427406.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,100,0,0.0,endTrial,True,,False,,,,,
2,5ef784d6ce2f7f58fcd0a3a0,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279702736.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,0,0,87,87,0.06,endTrial,False,,False,270221.0,95525.0,163658.0,259183.0,11038.0
3,5ef7859cce2f7f58fcd0a3d3,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279900184.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,0,0,100,187,0.16,endTrial,False,,False,191955.0,63542.0,120868.0,184410.0,7545.0
4,5ef7863ece2f7f58fcd0a405,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280062979.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2.0,0,0,87,274,0.22,endTrial,False,,False,157681.0,67865.0,87195.0,155060.0,2621.0
5,5ef786b6ce2f7f58fcd0a439,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280182554.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,3.0,0,1,31,305,0.22,endTrial,False,,False,114105.0,59293.0,53685.0,112978.0,1127.0
6,5ef78732ce2f7f58fcd0a477,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280306659.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,4.0,0,1,68,373,0.24,endTrial,False,,False,119006.0,68445.0,47986.0,116431.0,2575.0
7,5ef787b3ce2f7f58fcd0a4c2,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280435766.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,5.0,0,1,31,404,0.24,endTrial,False,,False,123755.0,62161.0,56638.0,118799.0,4956.0
8,5ef78819ce2f7f58fcd0a518,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280537877.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,6.0,0,2,100,504,0.34,endTrial,False,,False,96609.0,50373.0,44269.0,94642.0,1967.0
9,5ef78867ce2f7f58fcd0a556,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280615495.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,7.0,0,2,100,604,0.43,endTrial,False,,False,71922.0,34760.0,35451.0,70211.0,1711.0
10,5ef788b1ce2f7f58fcd0a58b,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280689573.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,8.0,0,2,100,704,0.53,endTrial,False,,False,68282.0,32124.0,34287.0,66411.0,1871.0
11,5ef788e9ce2f7f58fcd0a5b8,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280745959.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,9.0,0,3,100,804,0.63,endTrial,False,,False,50341.0,24987.0,23459.0,48446.0,1895.0
12,5ef78928ce2f7f58fcd0a5e6,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280808804.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,10.0,0,3,100,904,0.73,endTrial,False,,False,56628.0,34972.0,20250.0,55222.0,1406.0
13,5ef7895cce2f7f58fcd0a60c,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280860813.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,11.0,0,3,100,1004,0.83,endTrial,False,,False,45797.0,28065.0,16027.0,44092.0,1705.0
0,5ef787ccce2f7f58fcd0a4d7,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593280460355.0,32EYX73OY49GNJOD0YLK3713S84RUF,vertical,horizontal,,0,practice,0,0,0.0,endTrial,True,,False,,,,,
1,5ef78853ce2f7f58fcd0a546,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593280595046.0,32EYX73OY49GNJOD0YLK3713S84RUF,vertical,horizontal,,0,practice,100,0,0.0,endTrial,True,,False,,,,,
2,5ef78973ce2f7f58fcd0a619,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593280883138.0,32EYX73OY49GNJOD0YLK3713S84RUF,L,Pi,0.0,0,0,68,68,0.02,endTrial,False,,False,282567.0,116211.0,147802.0,264013.0,18554.0
3,5ef78ac9ce2f7f58fcd0a710,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593281225273.0,32EYX73OY49GNJOD0YLK3713S84RUF,C,Pi,1.0,0,0,68,136,0.04,endTrial,False,,False,336603.0,84723.0,236412.0,321135.0,15468.0
4,5ef78bface2f7f58fcd0a789,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593281530683.0,32EYX73OY49GNJOD0YLK3713S84RUF,L,C,2.0,0,0,93,229,0.1,endTrial,False,,False,299876.0,83749.0,201548.0,285297.0,14579.0
5,5ef78cfdce2f7f58fcd0a7cc,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593281789562.0,32EYX73OY49GNJOD0YLK3713S84RUF,C,L,3.0,0,1,100,329,0.2,endTrial,False,,False,253038.0,53189.0,188099.0,241288.0,11750.0
6,5ef78e00ce2f7f58fcd0a810,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593282048566.0,32EYX73OY49GNJOD0YLK3713S84RUF,Pi,C,4.0,0,1,75,404,0.22,endTrial,False,,False,253457.0,51403.0,191310.0,242713.0,10744.0
7,5ef78f19ce2f7f58fcd0a879,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593282329083.0,32EYX73OY49GNJOD0YLK3713S84RUF,Pi,L,5.0,0,1,87,491,0.28,endTrial,False,,False,274968.0,71806.0,191919.0,263725.0,11243.0
8,5ef78fe5ce2f7f58fcd0a8eb,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593282533984.0,32EYX73OY49GNJOD0YLK3713S84RUF,L,C,6.0,0,2,100,591,0.38,endTrial,False,,False,199035.0,87904.0,100587.0,188491.0,10544.0
