iterationName	gameid	time	leftTarget	rightTarget	trialNum	turnNum	repNum	block	blockNum	eventType
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745196061	L	Pi	0	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745197185	L	Pi	0	1	0	{"x":2,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	1	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745204915	L	Pi	0	3	0	{"x":3,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	2	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745206266	L	Pi	0	3	0	{"x":4,"y":3,"width":1,"height":2,"color":[179,47,10,155]}	3	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745207607	L	Pi	0	3	0	{"x":6,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745208574	L	Pi	0	3	0	{"x":7,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	5	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745209723	L	Pi	0	3	0	{"x":5,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	2239-0856b4f5-66b7-4671-b3f1-8ab9678b4b18	1588745211256	L	Pi	0	3	0	{"x":8,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	7	block
